Season,Won,Draws,Lost,Position,Top goalscorer,Goals
1992,11,16,16,0th,Chris Armstrong,15
1994,11,12,12,[Q],Chris Armstrong,18
1997,8,9,9,0th,Bruce Dyer,8
2004,7,12,12,8th,Andrew Johnson,21
2013,13,6,6,1th,Dwight Gayle,8
