Season,Won,Draws,Lost,Position,Top goalscorer,Goals
2008,12,9,9,2th,Ricardo Fuller,11
2009,11,14,14,1th,Ricardo Fuller,8
2010,13,7,7,3th,"Kenwyne Jones, Jonathan Walters",12
2011,11,12,12,4th,Peter Crouch,14
2012,9,15,15,3th,Jonathan Walters,11
2013,13,11,11,9th,Peter Crouch,10
